DATE,CONDITION
1/1/2018,sunny
1/2/2018,sunny
1/3/2018,sunny
1/4/2018,snow
1/5/2018,sunny
1/6/2018,sunny
1/7/2018,sunny
1/8/2018,sunny
1/9/2018,sunny
1/10/2018,sunny
1/11/2018,sunny
1/12/2018,rainy
1/13/2018,sunny
1/14/2018,sunny
1/15/2018,snow
1/16/2018,sunny
1/17/2018,foggy
1/18/2018,sunny
1/19/2018,sunny
1/20/2018,sunny
1/21/2018,sunny
1/22/2018,sunny
1/23/2018,rainy
1/24/2018,sunny
1/25/2018,sunny
1/26/2018,sunny
1/27/2018,sunny
1/28/2018,sunny
1/29/2018,sunny
1/30/2018,snow
1/31/2018,sunny
2/1/2018,sunny
2/2/2018,sunny
2/3/2018,sunny
2/4/2018,rainy
2/5/2018,sunny
2/6/2018,sunny
2/7/2018,snow
2/8/2018,sunny
2/9/2018,sunny
2/10/2018,sunny
2/11/2018,rainy
2/12/2018,sunny
2/13/2018,sunny
2/14/2018,sunny
2/15/2018,rainy
2/16/2018,sunny
2/17/2018,rainy
2/18/2018,sunny
2/19/2018,foggy
2/20/2018,foggy
2/21/2018,sunny
2/22/2018,rainy
2/23/2018,foggy
2/24/2018,sunny
2/25/2018,rainy
2/26/2018,sunny
2/27/2018,sunny
2/28/2018,sunny
3/1/2018,rainy
3/2/2018,snow
3/3/2018,sunny
3/4/2018,sunny
3/5/2018,sunny
3/6/2018,sunny
3/7/2018,snow
3/8/2018,sunny
3/9/2018,sunny
3/10/2018,sunny
3/11/2018,sunny
3/12/2018,rainy
3/13/2018,snow
3/14/2018,snow
3/15/2018,sunny
3/16/2018,sunny
3/17/2018,sunny
3/18/2018,sunny
3/19/2018,sunny
3/20/2018,snow
3/21/2018,snow
3/22/2018,sunny
3/23/2018,sunny
3/24/2018,sunny
3/25/2018,sunny
3/26/2018,sunny
3/27/2018,sunny
3/28/2018,sunny
3/29/2018,foggy
3/30/2018,foggy
3/31/2018,sunny
4/1/2018,sunny
4/2/2018,snow
4/3/2018,rainy
4/4/2018,rainy
4/5/2018,sunny
4/6/2018,rainy
4/7/2018,sunny
4/8/2018,sunny
4/9/2018,sunny
4/10/2018,sunny
4/11/2018,sunny
4/12/2018,sunny
4/13/2018,sunny
4/14/2018,sunny
4/15/2018,rainy
4/16/2018,rainy
4/17/2018,sunny
4/18/2018,sunny
4/19/2018,rainy
4/20/2018,sunny
4/21/2018,sunny
4/22/2018,sunny
4/23/2018,sunny
4/24/2018,sunny
4/25/2018,rainy
4/26/2018,sunny
4/27/2018,rainy
4/28/2018,rainy
4/29/2018,rainy
4/30/2018,rainy
5/1/2018,sunny
5/2/2018,sunny
5/3/2018,sunny
5/4/2018,sunny
5/5/2018,sunny
5/6/2018,sunny
